Folder,Title,Description,Link,Length,Lecture No.,No. Clicker questions,Book,Book Type,Homework Assignment,Review Material,Book Length
/Syllabus Week,Introduction to PHY 131,"Professor Hemmick introduces himself and the course, and discusses the different class types for introductory physics.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/6/,8:06,1,0,1,Lecture,1,,
/Syllabus Week,Teaching a Large Course,"The larger the class, the more important questions are asked! ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/7/,6:14,1,0,1,Lecture,1,,
/Syllabus Week,Grade Breakdown,"Here, the grade breakdown is explained. Exam dates and times are outdated, so MAKE SURE to check Blackboard for latest exam schedules, and for any recent changes to grade breakdowns. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/9/,5:06,1,0,1,Lecture,1,,
/Syllabus Week,Testing for Online Students,"For exams, online students have the option to take exams in person, or at a testing center off-campus. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/396/,2:42,1,0,1,Lecture,1,,
/Syllabus Week,Memorize vs. Remembering & Understanding,"There is a important distinction between memorizing and understanding a formula, which is why the exams are taken with a non-graphing calculator and no formula sheet.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/397/,3:27,1,0,1,Lecture,1,,
/Syllabus Week,Recitations & Homework,"We go over how recitations and homeworks are given, and some more exam info. Make sure to check Blackboard for due dates and updated information!",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/398/,6:13,1,0,1,Lecture,1,,
/Syllabus Week,More on WebAssign,Professor Hemmick explains how to find your WebAssign homeworks. Note that you'll find your's under your Weekly Tasks in the normal course page (not a recitation section).,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/399/,10:22,1,0,1,Lecture,1,,
/Opening Videos,A Baffling Balloon Behavior (Lect. 2),Why does a balloon move forward in a moving car?,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/2/,2:17,2,0,1,Lecture,1,,
/Syllabus Week,More Administrivia,"We go over some more administrative information about the online vs. in-person sections, as well as that the online lab is a different course than PHY 131.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/3/,6:26,2,0,1,Lecture,1,,
/Important Basics,Should We Use Significant Digits?,"Since many people have used significant digits in the past, we discuss why they aren't as good as they're made out to be.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/4/,9:15,2,1,1,Lecture,1,,
