Folder,Title,Description,Link,Length,Lecture No.,No. Clicker questions,Book,Homework Assignment,Review Material,Book Length
/Syllabus Week/,Introduction to PHY132,"General information about the course, such as the setup of recitations, exams, Webassign, and more",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/68/,18:21:00,1,0,1,1,,
/Electricity/Electric Forces/,Intro to Electric Forces,"Introduces forces that come from two point charges, and explains the relevant electric force formula along with the vector notation",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/69/,15:23:00,1,0,1,1,,
/Electricity/Electric Forces/,Free-Body Analysis of Point Charges,Prof. Hemmick goes into detail of a free-body force diagram which explains the forces between point charges.,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/70/,17:44:00,1,0,1,1,,
/Electricity/Electric Forces/,Continued Force Analysis of Point Charges,"Here, we continue last lecture's force analysis of point charges, ﬁnding F_total for x and y directions, and use it to ﬁnd the magnitude and direction of the electric force.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/71/,6:31:00,2,0,1,1,,
/Electricity/Electric Forces/,Finding Symmetry in Electric Forces,"Prof. Hemmick does another electric force problem, but this time uses symmetry of the system to simplify it dramatically.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/72/,9:12:00,2,0,1,1,,67:11:00
/Electricity/Electric Forces/,Force From Electric Field,"We introduce the concept of electric ﬁeld using a force equation and revisit the simple symmetric point charge problem, but this time using electric ﬁeld.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/73/,12:52:00,2,1,2,2,,
/Electricity/Electric Forces/,Overview-Point Charge and Electric Force and Field,Prof. Hemmick does a brief overview of what we've learned so far in Electricity.,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/74/,3:14:00,2,0,2,2,,
/Electricity/Electric Calculus,Breaking up Electric Field,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/75/,17:51:00,3,1,2,2,,
/Electricity/Electric Calculus,Using 3D Calculus in Intro Physics,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/76/,7:54:00,3,0,2,2,,
/Electricity/Electric Calculus,Explaining dQ,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/77/,3:45:00,3,0,2,2,,
/Electricity/Electric Calculus,New Coordinate Systems,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/78/,14:13:00,3,0,2,2,,
/Opening Videos,Veritasium - 4 Revolutionary Riddles Resolved!,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/79/,1:47:00,4,0,2,2,,
