Title,Link,Length,Lecture No.,Book,Real Lecture Correlation
Two Charges,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/315/,12:12,1,1,
Charges In A Line,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/316/,12:12,1,1,
Charge Symmetry ,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/318/,7:00,2,1,
Electroscope,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/319/,6:34,2,1,
Electric Projectile,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/320/,12:16,2,1,
Orbiting Electron,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/321/,10:29,2,1,
Solid Sphere,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/322/,10:01,8,3,7
Solid Cylinder,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/323/,13:07,8,3,
Concentric Spheres,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/324/,13:54,8,3,
Infinite Thick Slab,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/325/,14:53,9,3,
Double Slab,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/326/,17:12,9,3,
Equipotentials,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/327/,3:06,10,5,
Field and Potential,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/328/,8:18,10,5,11
E From V,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/329/,3:43,12,5,
Charge Square,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/330/,5:30,12,5,
Smoke Detector,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/331/,8:09,14,5,
Parallel Plate Cap,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/332/,8:43,14,5,
Partly Filled Cap,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/333/,9:55,14,5,
Capacitor Network,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/334/,10:25,14,5,15
Resistor Network,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/335/,8:14,15,6,
Kirchoff,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/336/,18:20,15,6,16
Kirchoff2,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/337/,13:39,15,6,17
