break,Title,Description,Link,Length,Lecture No.,No. Clicker questions,Book,Sp 2020 Book,Homework Assignment,Review Material,Time per homework,Book Type
/Syllabus Week/,Introduction to PHY132,"General information about the course, such as the setup of recitations, exams, Webassign, and more",https://apps.tlt.stonybrook.edu/vq/themmick/68/,18:21:00,1,0,1,1,1,,,Class
/Electricity/Electric Forces/,Intro to Electric Forces,"Introduces forces that come from two point charges, and explains the relevant electric force formula along with the vector notation",https://apps.tlt.stonybrook.edu/vq/themmick/69/,15:23:00,1,0,1,1,1,,33:44:00,Class
/Electricity/Electric Forces/,Free-Body Analysis of Point Charges,Prof. Hemmick goes into detail of a free-body force diagram which explains the forces between point charges.,https://apps.tlt.stonybrook.edu/vq/themmick/70/,17:44:00,1,0,2,1,1,,,Class
/Electricity/Electric Forces/,Continued Force Analysis of Point Charges,"Here, we continue last lecture's force analysis of point charges, ﬁnding F_total for x and y directions, and use it to ﬁnd the magnitude and direction of the electric force.",https://apps.tlt.stonybrook.edu/vq/themmick/71/,6:31:00,2,0,2,1,1,,24:15:00,Class
/Electricity/Electric Forces/,Finding Symmetry in Electric Forces,"Prof. Hemmick does another electric force problem, but this time uses symmetry of the system to simplify it dramatically.",https://apps.tlt.stonybrook.edu/vq/themmick/72/,9:12:00,2,0,3,1,1,,9:12:00,Class
/Electricity/Electric Forces/,Force From Electric Field,"We introduce the concept of electric ﬁeld using a force equation and revisit the simple symmetric point charge problem, but this time using electric ﬁeld.",https://apps.tlt.stonybrook.edu/vq/themmick/73/,12:52:00,2,1,4,2,2,,12:52:00,Class
/Electricity/Electric Forces/,Overview-Point Charge and Electric Force and Field,Prof. Hemmick does a brief overview of what we've learned so far in Electricity.,https://apps.tlt.stonybrook.edu/vq/themmick/74/,3:14:00,2,0,4,2,2,,16:06:00,Class
/Electricity/Electric Calculus,Breaking up Electric Field,"Prof. Hemmick breaks a continuously charged object into infinitesimally small point objects, in an effort to sum over all the object to get it's total electric field contribution. ",https://apps.tlt.stonybrook.edu/vq/themmick/75/,17:51:00,3,1,4,2,2,,33:57:00,Class
/Electricity/Electric Calculus,Using 3D Calculus in Intro Physics,Prof. Hemmick explains why it is important (and much simpler!) to use 3D calculus to solve some physics problems. ,https://apps.tlt.stonybrook.edu/vq/themmick/76/,7:54:00,3,0,4,2,2,,41:51:00,Class
/Electricity/Electric Calculus,Explaining dQ,"We introduce the dQ term we see in integrating electric field, for lengths (1D), area (2D), and volume (3D). ",https://apps.tlt.stonybrook.edu/vq/themmick/77/,3:45:00,3,0,4,2,2,,45:36:00,Class
/Electricity/Electric Calculus,New Coordinate Systems,Prof. Hemmick introduces three coordinate systems we will use in integration.,https://apps.tlt.stonybrook.edu/vq/themmick/78/,14:13:00,3,0,4,2,2,,59:49:00,Class
/Opening Videos,Veritasium - 4 Revolutionary Riddles Resolved!,Veritasium solves some rotational physics mysteries.,https://apps.tlt.stonybrook.edu/vq/themmick/79/,1:47:00,4,0,5,2,2,,61:36:00,Class
/Electricity/Electric Calculus,Integrating Electric Field,Prof. Hemmick turns our electric field sum into an integral.,https://apps.tlt.stonybrook.edu/vq/themmick/80/,7:38:00,4,0,5,2,2,,69:14:00,Class
/Electricity/Electric Calculus,More dQ - Spherical Coordinates,"Prof. Hemmick revisits our new coordinate system, and continues with introducing spherical coordinates. ",https://apps.tlt.stonybrook.edu/vq/themmick/81/,16:05:00,4,1,5,2,2,,85:19:00,Class
/Electricity/Electric Calculus,Using Coordinates to Integrate in 3D,Prof. Hemmick does a simple example of integrating a sphere's volume in spherical coordinates.,https://apps.tlt.stonybrook.edu/vq/themmick/82/,11:00:00,4,0,5,2,2,,96:19:00,Class
/Electricity/Electric Calculus,Integrating Electric Field - Hollow Disk,"Prof. Hemmick does the first example of integrating a charged object, by choosing the right dQ and integrating with cylindrical coordinates.",https://apps.tlt.stonybrook.edu/vq/themmick/83/,14:35:00,4,1,5,2,2,,110:54:00,Class
/Opening Videos,Physics Girl - Physics of Skateboarding,Physics Girl and Rodney Mullen talk about why skateboarding tricks work - or don't.,https://apps.tlt.stonybrook.edu/vq/themmick/84/,1:18:00,5,0,5,2,2,,112:12:00,Class
/Electricity/Electric Calculus,Possible Electric Field Integrals,Prof. Hemmick briefly covers the different shapes of electrically charged objects which may be on midterm 1.,https://apps.tlt.stonybrook.edu/vq/themmick/85/,2:53:00,5,0,5,2,2,,115:05:00,Class
/Electricity/Electric Calculus,Hollow Disk (part a),We go over some methods (such as symmetry) which make integrating the electric field quicker and easier. ,https://apps.tlt.stonybrook.edu/vq/themmick/86/,6:37:00,5,0,5,2,2,,121:42:00,Class
/Electricity/Electric Calculus,Hollow Disk (part b),"Prof. Hemmick explains how to define which dimensions to integrate over, depending on the the shape of our charged object, as well as determining how to find the charge density. ",https://apps.tlt.stonybrook.edu/vq/themmick/87/,6:44:00,5,0,5,2,2,,128:26:00,Class
/Electricity/Electric Calculus,Hollow Disk (part c),"We cover how to change the general form ""dA"" to what we use for a hollow disk, as well as how to define our components with geometry. ",https://apps.tlt.stonybrook.edu/vq/themmick/88/,15:32:00,5,2,5,2,2,,143:58:00,Class
/Electricity/Electric Calculus,Hollow Disk (part d),"Prof. Hemmick constructs and solves the electric field integral from our results in parts a, b, and c. ",https://apps.tlt.stonybrook.edu/vq/themmick/89/,12:53:00,5,0,5,2,2,,156:51:00,Class
/Electricity/Electric Calculus,Ring of Charge (part a),Prof. Hemmick briefly introduces the ring of charge and which coordinate system to define it in. Continued next lecture.,https://apps.tlt.stonybrook.edu/vq/themmick/90/,4:33:00,5,0,5,2,2,,161:24:00,Class
/Opening Videos,Smarter Every Day - The Walking Water Mystery,"An explanation of why water droplets sometimes bounce over water, due to a decreased collisional kinetic energy.",https://apps.tlt.stonybrook.edu/vq/themmick/91/,1:47:00,6,0,6,2,2,,163:11:00,Class
/Electricity/Electric Calculus,Ring of Charge (part b),"Prof. Hemmick asks the students to identify which coordinate to integrate charge over, as well as which dQ to choose (length, area, or volume) for a ring of charge. ",https://apps.tlt.stonybrook.edu/vq/themmick/92/,8:32:00,6,2,6,2,2,,171:43:00,Class
/Electricity/Electric Calculus,Ring of Charge (part c),Prof. Hemmick defines our components and electric field direction using the geometry of the system.,https://apps.tlt.stonybrook.edu/vq/themmick/93/,4:47:00,6,0,6,2,2,,176:30:00,Class
/Electricity/Electric Calculus,Ring of Charge (part d),Prof. Hemmick builds the electric field integral using our previous results and solves. ,https://apps.tlt.stonybrook.edu/vq/themmick/94/,6:56:00,6,0,6,2,2,,183:26:00,Class
/Electricity/Electric Calculus,Ring of Charge (part e),Prof. Hemmick does a sanity check to see if our electric field result makes sense if we look at the limits of our setup.,https://apps.tlt.stonybrook.edu/vq/themmick/95/,4:14:00,6,0,6,2,2,,187:40:00,Class
/Electricity/Electric Calculus,Summary - Finite Line of Charge,"Prof. Hemmick goes over each shape of charged object we are responsible for in this course, and talks about how to integrate to find their electric fields (Finite Line of Charge, Full Ring of Charge, Partial Ring of Charge, Hollow Disk of Charge, Partial Spherical Shell of Charge). ",https://apps.tlt.stonybrook.edu/vq/themmick/96/,3:01:00,6,0,6,2,2,,190:41:00,Class
/Electricity/Electric Calculus,Summary - Full Ring of Charge, ,https://apps.tlt.stonybrook.edu/vq/themmick/97/,0:55:00,6,0,6,2,2,,191:36:00,Class
/Electricity/Electric Calculus,Summary - Partial Ring of Charge, ,https://apps.tlt.stonybrook.edu/vq/themmick/98/,8:46:00,6,0,6,2,2,,200:22:00,Class
/Electricity/Electric Calculus,Summary - Hollow Disk of Charge, ,https://apps.tlt.stonybrook.edu/vq/themmick/99/,1:35:00,6,0,6,2,2,,201:57:00,Class
/Electricity/Electric Calculus,Summary - Partial Spherical Shell of Charge, ,https://apps.tlt.stonybrook.edu/vq/themmick/100/,6:45:00,6,0,6,2,2,,208:42:00,Class
/Electricity/Gauss's Law,Sneak Peek - Gauss's Law,A quick overview of what will be covered in the next lecture about Gauss's Law.,https://apps.tlt.stonybrook.edu/vq/themmick/101/,1:50:00,6,0,6,2,2,,210:32:00,Class
/Opening Videos,Unlock Your Car with Water - The Spangler Effect,What happens when you pass radio waves through your head?,https://apps.tlt.stonybrook.edu/vq/themmick/102/,1:32:00,7,0,7,3,3,,1:32:00,Class
/Electricity/Gauss's Law,Continuity Equations,A continuity equation sets a quantity equal at two locations. Prof. Hemmick explains how Gauss uses the concept of a continuity-like equation to make electric field problems easier. ,https://apps.tlt.stonybrook.edu/vq/themmick/103/,4:32:00,7,0,7,3,3,,6:04:00,Class
/Electricity/Gauss's Law,Electric Field Lines and Flux,"Learning about electric field lines. Prof. Hemmick explains flux, and introduces electric field lines in that context. ",https://apps.tlt.stonybrook.edu/vq/themmick/104/,7:08:00,7,0,7,3,3,,13:12:00,Class
/Electricity/Gauss's Law,What is Gauss Law?,"We define a region, and explain how field lines enter and exit these surfaces and how this relates to Gauss's Law.",https://apps.tlt.stonybrook.edu/vq/themmick/105/,8:06:00,7,2,7,3,3,,21:18:00,Class
/Electricity/Gauss's Law,Counting Field Lines,"We go over the difference between electric field lines entering and exiting surfaces, as well as how to define the normal of a surface and why it is useful. ",https://apps.tlt.stonybrook.edu/vq/themmick/106/,9:32:00,7,1,7,3,3,,30:50:00,Class
/Electricity/Gauss's Law,More About Flux,"We explain the theory behind electric flux, and how it relates to Q_in open and closed surfaces. Prof. Hemmick explains the Gauss Law formula in the context of using a closed integral.  ",https://apps.tlt.stonybrook.edu/vq/themmick/107/,10:21:00,7,0,7,3,3,,41:11:00,Class
