Title,Description,Link,Length,Lecture No.,Book,Sp 2020 Book,Homework Number,Book Type
Two Charges,Two Charges,https://apps.tlt.stonybrook.edu/vq/themmick/315/,12:12,1,1,1,1,Extra_Credit
Charges In A Line,Charges In A Line,https://apps.tlt.stonybrook.edu/vq/themmick/316/,12:12,1,1,1,1,Extra_Credit
Charge Symmetry ,Charge Symmetry ,https://apps.tlt.stonybrook.edu/vq/themmick/318/,7:00,2,2,1,1,Extra_Credit
Electroscope,Electroscope,https://apps.tlt.stonybrook.edu/vq/themmick/319/,6:34,2,2,1,1,Extra_Credit
Electric Projectile,Electric Projectile,https://apps.tlt.stonybrook.edu/vq/themmick/320/,12:16,2,3,1,1,Extra_Credit
Orbiting Electron,Orbiting Electron,https://apps.tlt.stonybrook.edu/vq/themmick/321/,10:29,2,3,1,1,Extra_Credit
Solid Sphere,Solid Sphere,https://apps.tlt.stonybrook.edu/vq/themmick/322/,10:01,8,4,3,3,Extra_Credit
Solid Cylinder,Solid Cylinder,https://apps.tlt.stonybrook.edu/vq/themmick/323/,13:07,8,4,3,3,Extra_Credit
Concentric Spheres,Concentric Spheres,https://apps.tlt.stonybrook.edu/vq/themmick/324/,13:54,8,4,3,3,Extra_Credit
Infinite Thick Slab,Infinite Thick Slab,https://apps.tlt.stonybrook.edu/vq/themmick/325/,14:53,9,5,3,3,Extra_Credit
Double Slab,Double Slab,https://apps.tlt.stonybrook.edu/vq/themmick/326/,17:12,9,6,3,3,Extra_Credit
Equipotentials,Equipotentials,https://apps.tlt.stonybrook.edu/vq/themmick/327/,3:06,10,7,5,4,Extra_Credit
Field and Potential,Field and Potential,https://apps.tlt.stonybrook.edu/vq/themmick/328/,8:18,10,7,5,4,Extra_Credit
E From V,E From V,https://apps.tlt.stonybrook.edu/vq/themmick/329/,3:43,12,7,5,4,Extra_Credit
Charge Square,Charge Square,https://apps.tlt.stonybrook.edu/vq/themmick/330/,5:30,12,7,5,4,Extra_Credit
Smoke Detector,Smoke Detector,https://apps.tlt.stonybrook.edu/vq/themmick/331/,8:09,14,8,5,4,Extra_Credit
Parallel Plate Cap,Parallel Plate Cap,https://apps.tlt.stonybrook.edu/vq/themmick/332/,8:43,14,8,5,4,Extra_Credit
Partly Filled Cap,Partly Filled Cap,https://apps.tlt.stonybrook.edu/vq/themmick/333/,9:55,14,8,5,4,Extra_Credit
Capacitor Network,Capacitor Network,https://apps.tlt.stonybrook.edu/vq/themmick/334/,10:25,14,9,5,4,Extra_Credit
Resistor Network,Resistor Network,https://apps.tlt.stonybrook.edu/vq/themmick/335/,8:14,15,10,6,5,Extra_Credit
Kirchoff,Kirchoff,https://apps.tlt.stonybrook.edu/vq/themmick/336/,18:20,15,11,6,5,Extra_Credit
Kirchoff2,Kirchoff2,https://apps.tlt.stonybrook.edu/vq/themmick/337/,13:39,15,11,6,5,Extra_Credit
Cyclotron,Cyclotron,https://apps.tlt.stonybrook.edu/vq/themmick/338/,9:56,18,12,7,6,Extra_Credit
Helix,Helix,https://apps.tlt.stonybrook.edu/vq/themmick/339/,6:53,18,12,7,6,Extra_Credit
Mass Spectrometer,Mass Spectrometer,https://apps.tlt.stonybrook.edu/vq/themmick/340/,14:29,19,12,7,6,Extra_Credit
Magnetic Moment,Magnetic Moment,https://apps.tlt.stonybrook.edu/vq/themmick/341/,10:24,19,12,7,6,Extra_Credit
Long Wire,Long Wire,https://apps.tlt.stonybrook.edu/vq/themmick/342/,5:39,19,13,7,6,Extra_Credit
Long Solenoid,Long Solenoid,https://apps.tlt.stonybrook.edu/vq/themmick/343/,6:44,19,13,7,6,Extra_Credit
Toroid,Toroid,https://apps.tlt.stonybrook.edu/vq/themmick/344/,4:09,19,13,7,6,Extra_Credit
Two Wires,Two Wires,https://apps.tlt.stonybrook.edu/vq/themmick/345/,9:19,20,14,7,6,Extra_Credit
Arched Loop,Arched Loop,https://apps.tlt.stonybrook.edu/vq/themmick/346/,9:11,20,14,7,6,Extra_Credit
Antiparallel Wires,Antiparallel Wires,https://apps.tlt.stonybrook.edu/vq/themmick/347/,5:23,20,14,7,6,Extra_Credit
Bar Slide,Bar Slide,https://apps.tlt.stonybrook.edu/vq/themmick/348/,7:49,20,15,7,6,Extra_Credit
Lenz Law,Lenz Law,https://apps.tlt.stonybrook.edu/vq/themmick/349/,13:16,21,16,9,7,Extra_Credit
Line and Loop,Line and Loop,https://apps.tlt.stonybrook.edu/vq/themmick/350/,5:44,21,16,9,7,Extra_Credit
Moving Loop,Moving Loop,https://apps.tlt.stonybrook.edu/vq/themmick/351/,8:43,21,16,9,7,Extra_Credit
Induction Coil,Induction Coil,https://apps.tlt.stonybrook.edu/vq/themmick/352/,3:44,22,16,9,7,Extra_Credit
Sliding Bar,Sliding Bar,https://apps.tlt.stonybrook.edu/vq/themmick/353/,8:56,22,16,9,7,Extra_Credit
